sno,SrNo,vno,Ayah,words,en,wc,Place
2,75,69,قالوا ادع لنا ربك يبين لنا ما لونها قال إنه يقول إنها بقرة صفراء فاقع لونها تسر الناظرين,18,"They said: ""Beseech on our behalf Thy Lord to make plain to us Her colour."" He said: ""He says: A fawn-coloured heifer, pure and rich in tone, the admiration of beholders!""",18,Medinan
2,76,70,قالوا ادع لنا ربك يبين لنا ما هي إن البقر تشابه علينا وإنا إن شاء الله لمهتدون,17,"They said: ""Beseech on our behalf Thy Lord to make plain to us what she is: To us are all heifers alike: We wish indeed for guidance, if Allah wills.""",17,Medinan
2,77,71,قال إنه يقول إنها بقرة لا ذلول تثير الأرض ولا تسقي الحرث مسلمة لا شية فيها قالوا الآن جئت بالحق فذبحوها وما كادوا يفعلون,24,"He said: ""He says: A heifer not trained to till the soil or water the fields; sound and without blemish."" They said: ""Now hast thou brought the truth."" Then they offered her in sacrifice, but not with good-will.",24,Medinan
2,78,72,وإذ قتلتم نفسا فادارأتم فيها والله مخرج ما كنتم تكتمون,10,Remember ye slew a man and fell into a dispute among yourselves as to the crime: But Allah was to bring forth what ye did hide.,10,Medinan
2,79,73,فقلنا اضربوه ببعضها كذلك يحيي الله الموتى ويريكم آياته لعلكم تعقلون,11,"So We said: ""Strike the (body) with a piece of the (heifer)."" Thus Allah bringeth the dead to life and showeth you His Signs: Perchance ye may understand.",11,Medinan
2,80,74,ثم قست قلوبكم من بعد ذلك فهي كالحجارة أو أشد قسوة وإن من الحجارة لما يتفجر منه الأنهار وإن منها لما يشقق فيخرج منه الماء وإن منها لما يهبط من خشية الله وما الله بغافل عما تعملون,37,Thenceforth were your hearts hardened: They became like a rock and even worse in hardness. For among rocks there are some from which rivers gush forth; others there are which when split asunder send forth water; and others which sink for fear of Allah. And Allah is not unmindful of what ye do.,37,Medinan
2,81,75,أفتطمعون أن يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون,19,"Can ye (o ye men of Faith) entertain the hope that they will believe in you?- Seeing that a party of them heard the Word of Allah, and perverted it knowingly after they understood it.",19,Medinan
2,82,76,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلا بعضهم إلى بعض قالوا أتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم أفلا تعقلون,23,"Behold! when they meet the men of Faith, they say: ""We believe"": But when they meet each other in private, they say: ""Shall you tell them what Allah hath revealed to you, that they may engage you in argument about it before your Lord?""- Do ye not understand (their aim)?",23,Medinan
2,83,77,أولا يعلمون أن الله يعلم ما يسرون وما يعلنون,9,Know they not that Allah knoweth what they conceal and what they reveal?,9,Medinan
2,84,78,ومنهم أميون لا يعلمون الكتاب إلا أماني وإن هم إلا يظنون,11,"And there are among them illiterates, who know not the Book, but (see therein their own) desires, and they do nothing but conjecture.",11,Medinan
2,85,79,فويل للذين يكتبون الكتاب بأيديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا فويل لهم مما كتبت أيديهم وويل لهم مما يكسبون,24,"Then woe to those who write the Book with their own hands, and then say:""This is from Allah,"" to traffic with it for miserable price!- Woe to them for what their hands do write, and for the gain they make thereby.",24,Medinan
2,86,80,وقالوا لن تمسنا النار إلا أياما معدودة قل أتخذتم عند الله عهدا فلن يخلف الله عهده أم تقولون على الله ما لا تعلمون,23,"And they say: ""The Fire shall not touch us but for a few numbered days:"" Say: ""Have ye taken a promise from Allah, for He never breaks His promise? or is it that ye say of Allah what ye do not know?""",23,Medinan
2,87,81,بلى من كسب سيئة وأحاطت به خطيئته فأولئك أصحاب النار هم فيها خالدون,13,"Nay, those who seek gain in evil, and are girt round by their sins,- they are companions of the Fire: Therein shall they abide (For ever).",13,Medinan
2,88,82,والذين آمنوا وعملوا الصالحات أولئك أصحاب الجنة هم فيها خالدون,10,"But those who have faith and work righteousness, they are companions of the Garden: Therein shall they abide (For ever).",10,Medinan
2,89,83,وإذ أخذنا ميثاق بني إسرائيل لا تعبدون إلا الله وبالوالدين إحسانا وذي القربى واليتامى والمساكين وقولوا للناس حسنا وأقيموا الصلاة وآتوا الزكاة ثم توليتم إلا قليلا منكم وأنتم معرضون,29,"And remember We took a covenant from the Children of Israel (to this effect): Worship none but Allah; treat with kindness your parents and kindred, and orphans and those in need; speak fair to the people; be steadfast in prayer; and practise regular charity. Then did ye turn back, except a few among you, and ye backslide (even now).",29,Medinan
2,90,84,وإذ أخذنا ميثاقكم لا تسفكون دماءكم ولا تخرجون أنفسكم من دياركم ثم أقررتم وأنتم تشهدون,15,"And remember We took your covenant (to this effect): Shed no blood amongst you, nor turn out your own people from your homes: and this ye solemnly ratified, and to this ye can bear witness.",15,Medinan
2,91,85,ثم أنتم هؤلاء تقتلون أنفسكم وتخرجون فريقا منكم من ديارهم تظاهرون عليهم بالإثم والعدوان وإن يأتوكم أسارى تفادوهم وهو محرم عليكم إخراجهم أفتؤمنون ببعض الكتاب وتكفرون ببعض فما جزاء من يفعل ذلك منكم إلا خزي في الحياة الدنيا ويوم القيامة يردون إلى أشد العذاب وما الله بغافل عما تعملون,49,"After this it is ye, the same people, who slay among yourselves, and banish a party of you from their homes; assist (Their enemies) against them, in guilt and rancour; and if they come to you as captives, ye ransom them, though it was not lawful for you to banish them. Then is it only a part of the Book that ye believe in, and do ye reject the rest? but what is the reward for those among you who behave like this but disgrace in this life?- and on the Day of Judgment they shall be consigned to the most grievous penalty. For Allah is not unmindful of what ye do.",49,Medinan
2,92,86,أولئك الذين اشتروا الحياة الدنيا بالآخرة فلا يخفف عنهم العذاب ولا هم ينصرون,13,These are the people who buy the life of this world at the price of the Hereafter: their penalty shall not be lightened nor shall they be helped.,13,Medinan
2,93,87,ولقد آتينا موسى الكتاب وقفينا من بعده بالرسل وآتينا عيسى ابن مريم البينات وأيدناه بروح القدس أفكلما جاءكم رسول بما لا تهوى أنفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون,28,"We gave Moses the Book and followed him up with a succession of messengers; We gave Jesus the son of Mary Clear (Signs) and strengthened him with the holy spirit. Is it that whenever there comes to you a messenger with what ye yourselves desire not, ye are puffed up with pride?- Some ye called impostors, and others ye slay!",28,Medinan
2,94,88,وقالوا قلوبنا غلف بل لعنهم الله بكفرهم فقليلا ما يؤمنون,10,"They say, ""Our hearts are the wrappings (which preserve Allah's Word: we need no more)."" Nay, Allah's curse is on them for their blasphemy: Little is it they believe.",10,Medinan
2,95,89,ولما جاءهم كتاب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به فلعنة الله على الكافرين,26,"And when there comes to them a Book from Allah, confirming what is with them,- although from of old they had prayed for victory against those without Faith,- when there comes to them that which they (should) have recognised, they refuse to believe in it but the curse of Allah is on those without Faith.",26,Medinan
2,96,90,بئسما اشتروا به أنفسهم أن يكفروا بما أنزل الله بغيا أن ينزل الله من فضله على من يشاء من عباده فباءوا بغضب على غضب وللكافرين عذاب مهين,27,"Miserable is the price for which they have sold their souls, in that they deny (the revelation) which Allah has sent down, in insolent envy that Allah of His Grace should send it to any of His servants He pleases: Thus have they drawn on themselves Wrath upon Wrath. And humiliating is the punishment of those who reject Faith.",27,Medinan
2,97,91,وإذا قيل لهم آمنوا بما أنزل الله قالوا نؤمن بما أنزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم قل فلم تقتلون أنبياء الله من قبل إن كنتم مؤمنين,30,"When it is said to them, ""Believe in what Allah Hath sent down, ""they say, ""We believe in what was sent down to us:"" yet they reject all besides, even if it be Truth confirming what is with them. Say: ""Why then have ye slain the prophets of Allah in times gone by, if ye did indeed believe?""",30,Medinan
2,98,92,ولقد جاءكم موسى بالبينات ثم اتخذتم العجل من بعده وأنتم ظالمون,11,"There came to you Moses with clear (Signs); yet ye worshipped the calf (Even) after that, and ye did behave wrongfully.",11,Medinan
2,99,93,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واسمعوا قالوا سمعنا وعصينا وأشربوا في قلوبهم العجل بكفرهم قل بئسما يأمركم به إيمانكم إن كنتم مؤمنين,27,"And remember We took your covenant and We raised above you (the towering height) of Mount (Sinai): (Saying): ""Hold firmly to what We have given you, and hearken (to the Law)"": They said:"" We hear, and we disobey:"" And they had to drink into their hearts (of the taint) of the calf because of their Faithlessness. Say: ""Vile indeed are the behests of your Faith if ye have any faith!""",27,Medinan
2,100,94,قل إن كانت لكم الدار الآخرة عند الله خالصة من دون الناس فتمنوا الموت إن كنتم صادقين,17,"Say: ""If the last Home, with Allah, be for you specially, and not for anyone else, then seek ye for death, if ye are sincere.""",17,Medinan
2,101,95,ولن يتمنوه أبدا بما قدمت أيديهم والله عليم بالظالمين,9,"But they will never seek for death, on account of the (sins) which their hands have sent on before them. and Allah is well-acquainted with the wrong-doers.",9,Medinan
